LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
-37.78349,145.25601,1981,4,18,0.09,9.84,21.27
-37.78349,145.25601,1981,4,19,0.19,9.11,19.5
-37.78349,145.25601,1981,4,20,0.02,8.32,18.27
-37.78349,145.25601,1981,4,21,0,7.86,20.55
-37.78349,145.25601,1981,4,22,0.05,7.41,23.64
-37.78349,145.25601,1981,4,23,0.13,9.91,18.62
-37.78349,145.25601,1981,4,24,1.29,8.7,18.01
-37.78349,145.25601,1981,4,25,0.26,6.42,14.04
-37.78349,145.25601,1981,4,26,0.01,3.97,16.8
-37.78349,145.25601,1981,4,27,5.27,7.81,20.28
-37.78349,145.25601,1981,4,28,2.66,7.27,12.4
-37.78349,145.25601,1981,4,29,1.56,8.65,13.21
-37.78349,145.25601,1981,4,30,0.06,7.44,19.22
-37.78349,145.25601,1981,5,1,0,7.71,21.24
-37.78349,145.25601,1981,5,2,0.6,9.41,20.73
-37.78349,145.25601,1981,5,3,0.2,8.83,18.17
-37.78349,145.25601,1981,5,4,0.01,7.26,21.03
-37.78349,145.25601,1981,5,5,0.07,8.36,22.45
-37.78349,145.25601,1981,5,6,14.78,10.92,14.32
-37.78349,145.25601,1981,5,7,1.72,9.72,14.89
-37.78349,145.25601,1981,5,8,1.09,7,15.06
-37.78349,145.25601,1981,5,9,12.75,5.55,10.52
-37.78349,145.25601,1981,5,10,1.94,3.77,12.03
-37.78349,145.25601,1981,5,11,1.61,8.58,13.55
-37.78349,145.25601,1981,5,12,0.85,7.73,14.7
-37.78349,145.25601,1981,5,13,0,5.33,16.82
-37.78349,145.25601,1981,5,14,0.03,5.62,18.38
-37.78349,145.25601,1981,5,15,0.01,7.51,17.38
-37.78349,145.25601,1981,5,16,1.35,10.65,15.43
-37.78349,145.25601,1981,5,17,3.63,5.17,11.95
-37.78349,145.25601,1981,5,18,0.57,3.97,11.4
-37.78349,145.25601,1981,5,19,0.03,2.89,12.71
-37.78349,145.25601,1981,5,20,0.03,2.59,13.56
-37.78349,145.25601,1981,5,21,0.02,3.69,12.1
-37.78349,145.25601,1981,5,22,2.52,7.11,15.03
-37.78349,145.25601,1981,5,23,3.16,9.61,15.46
-37.78349,145.25601,1981,5,24,2.34,9.88,15.99
-37.78349,145.25601,1981,5,25,40.33,10.21,13.01
-37.78349,145.25601,1981,5,26,4.8,9.81,14.98
-37.78349,145.25601,1981,5,27,3.68,9,15.38
-37.78349,145.25601,1981,5,28,1.41,6.2,13.49
-37.78349,145.25601,1981,5,29,1.35,4.94,15.28
-37.78349,145.25601,1981,5,30,4.21,8.24,13.64
-37.78349,145.25601,1981,5,31,4.82,7.96,13.27
-37.78349,145.25601,1981,6,1,4.49,7.74,13.31
-37.78349,145.25601,1981,6,2,6.83,6.68,10.26
-37.78349,145.25601,1981,6,3,6.53,6.66,11.49
-37.78349,145.25601,1981,6,4,2.18,5.73,11.59
-37.78349,145.25601,1981,6,5,0.88,5.05,9.9
-37.78349,145.25601,1981,6,6,0.76,4.99,10.87
-37.78349,145.25601,1981,6,7,0.12,3.99,11.56
-37.78349,145.25601,1981,6,8,0.39,2.04,9.02
-37.78349,145.25601,1981,6,9,4.51,3.35,12.51
-37.78349,145.25601,1981,6,10,5.14,5.64,7.95
-37.78349,145.25601,1981,6,11,5.26,5.21,11
-37.78349,145.25601,1981,6,12,0.97,4.29,11.58
-37.78349,145.25601,1981,6,13,6.02,8.12,14.19
-37.78349,145.25601,1981,6,14,8.97,8.34,12
-37.78349,145.25601,1981,6,15,3.87,5.27,9.76
-37.78349,145.25601,1981,6,16,0.3,4.2,9.83
-37.78349,145.25601,1981,6,17,0.14,1.88,9.38
-37.78349,145.25601,1981,6,18,0.72,1.9,8.5
-37.78349,145.25601,1981,6,19,0.63,4.84,11.63
-37.78349,145.25601,1981,6,20,0.02,2.3,12.68
-37.78349,145.25601,1981,6,21,1.2,4.09,11.13
-37.78349,145.25601,1981,6,22,7.55,4.71,10.82
-37.78349,145.25601,1981,6,23,7.09,1.94,5.26
-37.78349,145.25601,1981,6,24,4.42,2.25,5.46
-37.78349,145.25601,1981,6,25,6.03,2.55,7.05
-37.78349,145.25601,1981,6,26,11.73,4.59,10.4
-37.78349,145.25601,1981,6,27,3.73,6.76,9.66
-37.78349,145.25601,1981,6,28,2.69,7.41,13.18
-37.78349,145.25601,1981,6,29,0.39,6.66,13.82
-37.78349,145.25601,1981,6,30,0.3,5.75,12.87
-37.78349,145.25601,1981,7,1,2.35,7.53,11.39
-37.78349,145.25601,1981,7,2,2.91,5.8,9.34
-37.78349,145.25601,1981,7,3,13.59,4.68,6.93
-37.78349,145.25601,1981,7,4,8.66,3.89,7.73
-37.78349,145.25601,1981,7,5,3.72,5.8,10.26
-37.78349,145.25601,1981,7,6,7.18,5.41,8.6
-37.78349,145.25601,1981,7,7,2.62,4.52,9.39
-37.78349,145.25601,1981,7,8,10.88,7.13,9.98
-37.78349,145.25601,1981,7,9,5.07,6.06,8.75
-37.78349,145.25601,1981,7,10,0.07,3.68,10.28
-37.78349,145.25601,1981,7,11,5.37,2.65,5.45
-37.78349,145.25601,1981,7,12,0.93,1.98,6.96
-37.78349,145.25601,1981,7,13,2.08,3.12,10.63
-37.78349,145.25601,1981,7,14,0.13,1.97,8.17
-37.78349,145.25601,1981,7,15,0.02,3.36,11.79
-37.78349,145.25601,1981,7,16,0.11,4.39,12.62
-37.78349,145.25601,1981,7,17,0.8,2.53,13.04
-37.78349,145.25601,1981,7,18,0.02,2.69,12.49
-37.78349,145.25601,1981,7,19,0.02,3.5,13.73
-37.78349,145.25601,1981,7,20,6.62,7.25,11.51
-37.78349,145.25601,1981,7,21,16.45,8.02,12.3
