LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
47.00001,4.50001,1981,4,5,0.11,4.8,12.89
47.00001,4.50001,1981,4,6,1.16,4.27,13.41
47.00001,4.50001,1981,4,7,0.51,7.45,17.1
47.00001,4.50001,1981,4,8,1.16,9.1,16.97
47.00001,4.50001,1981,4,9,0.07,6.95,18.49
47.00001,4.50001,1981,4,10,0.25,7.26,21.36
47.00001,4.50001,1981,4,11,3.13,11.44,17.18
47.00001,4.50001,1981,4,12,0.81,9.69,19.41
47.00001,4.50001,1981,4,13,0.44,11.25,20.17
47.00001,4.50001,1981,4,14,0.71,10.09,20.36
47.00001,4.50001,1981,4,15,5.01,11.16,15.12
47.00001,4.50001,1981,4,16,0.26,6.47,18.27
47.00001,4.50001,1981,4,17,0,1.74,11.5
47.00001,4.50001,1981,4,18,0,-1.08,8.67
47.00001,4.50001,1981,4,19,0.28,-1.96,8.63
47.00001,4.50001,1981,4,20,0.35,2.23,8.97
47.00001,4.50001,1981,4,21,0,0.49,12.1
47.00001,4.50001,1981,4,22,0.04,1.09,12.17
47.00001,4.50001,1981,4,23,0.02,0.71,12.12
47.00001,4.50001,1981,4,24,0,-1.07,12.28
47.00001,4.50001,1981,4,25,3.68,-0.39,13.74
47.00001,4.50001,1981,4,26,5.04,0.74,7.93
47.00001,4.50001,1981,4,27,2.72,-0.57,8.02
47.00001,4.50001,1981,4,28,0.97,2.03,10.29
47.00001,4.50001,1981,4,29,0.69,0.3,8.65
47.00001,4.50001,1981,4,30,1.11,5.84,13.12
47.00001,4.50001,1981,5,1,3.06,6.87,12.88
47.00001,4.50001,1981,5,2,2.49,3.95,10.96
47.00001,4.50001,1981,5,3,1.84,2.88,10.84
47.00001,4.50001,1981,5,4,10.85,1.83,8.33
47.00001,4.50001,1981,5,5,2.53,4.08,9.51
47.00001,4.50001,1981,5,6,1.71,4.65,15.14
47.00001,4.50001,1981,5,7,0.5,6.64,19.14
47.00001,4.50001,1981,5,8,4.14,9.42,17.19
47.00001,4.50001,1981,5,9,2.79,8.48,20.2
47.00001,4.50001,1981,5,10,16.82,11.29,18.37
47.00001,4.50001,1981,5,11,6.07,8.44,12.95
47.00001,4.50001,1981,5,12,1.67,7.5,12.94
47.00001,4.50001,1981,5,13,0.31,6.33,14.91
47.00001,4.50001,1981,5,14,0.2,6.29,15.84
47.00001,4.50001,1981,5,15,1.84,8.09,16.69
47.00001,4.50001,1981,5,16,4.52,7.17,14.05
47.00001,4.50001,1981,5,17,0.21,5.59,15.58
47.00001,4.50001,1981,5,18,0.01,6.05,20.23
47.00001,4.50001,1981,5,19,0.01,9.09,21.28
47.00001,4.50001,1981,5,20,0.4,10.71,21.43
47.00001,4.50001,1981,5,21,9.69,11.94,21.61
47.00001,4.50001,1981,5,22,0.22,9.71,16.81
47.00001,4.50001,1981,5,23,6.45,8.48,17.27
47.00001,4.50001,1981,5,24,1,9.8,15.69
47.00001,4.50001,1981,5,25,10.59,7.02,12.96
47.00001,4.50001,1981,5,26,1.85,6.94,14.98
47.00001,4.50001,1981,5,27,3.44,7.28,13.97
47.00001,4.50001,1981,5,28,5.33,7.8,13.14
47.00001,4.50001,1981,5,29,2.15,11.73,19.29
47.00001,4.50001,1981,5,30,0.5,12.13,22.42
47.00001,4.50001,1981,5,31,1.15,11.72,23.49
47.00001,4.50001,1981,6,1,0.57,13.37,24.66
47.00001,4.50001,1981,6,2,2.48,14.2,24.02
47.00001,4.50001,1981,6,3,25.42,11.2,20.97
47.00001,4.50001,1981,6,4,4.27,10.09,15.74
47.00001,4.50001,1981,6,5,0,7.96,20.6
47.00001,4.50001,1981,6,6,1.62,11.6,21.4
47.00001,4.50001,1981,6,7,3.07,10.03,22.27
47.00001,4.50001,1981,6,8,4.21,16.44,21.59
47.00001,4.50001,1981,6,9,20.54,12.01,19.61
47.00001,4.50001,1981,6,10,0.06,10.13,18.42
47.00001,4.50001,1981,6,11,0,8.38,22.97
47.00001,4.50001,1981,6,12,0.02,12.95,23.33
47.00001,4.50001,1981,6,13,0.02,10.9,21.74
47.00001,4.50001,1981,6,14,0,9.95,23.77
47.00001,4.50001,1981,6,15,0.01,13.95,26.74
47.00001,4.50001,1981,6,16,0.02,10.03,20.36
47.00001,4.50001,1981,6,17,0.28,7.78,16.07
47.00001,4.50001,1981,6,18,0.2,6.44,14.59
47.00001,4.50001,1981,6,19,0.03,5.85,15.48
47.00001,4.50001,1981,6,20,0.38,7.54,15.99
47.00001,4.50001,1981,6,21,0.56,8.32,16.26
47.00001,4.50001,1981,6,22,0.51,6.69,14.94
47.00001,4.50001,1981,6,23,0.05,7.71,19.38
47.00001,4.50001,1981,6,24,0.62,9.07,20.11
47.00001,4.50001,1981,6,25,5.54,12.17,17.9
47.00001,4.50001,1981,6,26,2.23,10.4,18.24
47.00001,4.50001,1981,6,27,12.98,8.72,18.98
47.00001,4.50001,1981,6,28,19.57,9.13,16.82
47.00001,4.50001,1981,6,29,1.44,5.9,14.23
47.00001,4.50001,1981,6,30,0.01,4.66,16.07
47.00001,4.50001,1981,7,1,0.38,8.36,19.91
47.00001,4.50001,1981,7,2,3.02,12.19,24.26
47.00001,4.50001,1981,7,3,13.74,10.13,16.78
47.00001,4.50001,1981,7,4,0.45,8.8,19.84
47.00001,4.50001,1981,7,5,0.34,12.58,21.23
47.00001,4.50001,1981,7,6,0.18,13.21,21.74
47.00001,4.50001,1981,7,7,0.06,12.36,24.27
47.00001,4.50001,1981,7,8,4.84,15.05,26.48
47.00001,4.50001,1981,7,9,6.19,17.83,25.11
47.00001,4.50001,1981,7,10,1.78,16.63,23.73
47.00001,4.50001,1981,7,11,1.19,13.26,21.53
47.00001,4.50001,1981,7,12,0.6,13.07,21.79
47.00001,4.50001,1981,7,13,1.86,14.41,20.38
47.00001,4.50001,1981,7,14,0.29,14.12,22.03
47.00001,4.50001,1981,7,15,0.08,11.9,22.26
47.00001,4.50001,1981,7,16,0.26,14.73,22.23
47.00001,4.50001,1981,7,17,4.37,11.58,19.2
47.00001,4.50001,1981,7,18,3.52,9.3,16.05
47.00001,4.50001,1981,7,19,0.54,8.95,17.51
47.00001,4.50001,1981,7,20,2.79,12.35,19.44
47.00001,4.50001,1981,7,21,0.46,11.19,20.4
47.00001,4.50001,1981,7,22,8.39,13.06,21.68
